,rdfs:comment
1082,"In the Balkans, people assigned female at birth who take a vow of chastity and live as men."
1083,"The trope in fiction that requires that LGBTQ+ characters die or meet some other type of unhappy ending. The trope is also known as ""dead lesbian syndrome"" due to the tendency for lesbian characters and bisexual female characters to be the targets. Transgender characters have also often been subjected to this trope."
1084,"Romantic, sexual, or play relationships between a masculine-identifying or -presenting person and a feminine-identifying or -presenting person. Though the terms ""butch"" and ""femme"" are most commonly used in lesbian communities, they are also used by other LGBTQ+ people. Only use to describe relationships between individuals who self-identify as butch and femme."
1085,"Feminine people of any gender, though this term is commonly used in lesbian communities."
1086,"Behavior determining one's response to a social situation, as influenced by social norms; internal and external expectations; and social sanctions and rewards."
1087,"Individuals whose gender expression and/or identity is masculine-presenting and who usually do not like to be sexually touched, though they will still provide their partners with sexual pleasure; commonly used in lesbian communities."
1088,"In Māori culture in New Zealand, this term is used to describe people assigned female at birth who pursue traditionally male roles."
1089,A largely reclaimed slur common in the U.S. that may be used to refer to lesbians who embrace a masculine style of presentation or lesbian political activists in general. Only use for individuals who self-identify as dykes.
1090,People who are somewhat or slightly masculine in their appearance; commonly used in lesbian communities.
1091,Girls who exhibit some characteristics associated with gender expectations for boys.
1092,"Colloquial term for the buttocks, or the fleshy protuberances at the back of the hips on which people sit."
1093,"Phallic-shaped implements used for sexual stimulation, typically through penetration of the anus or vagina."
1094,"In Bugis culture, this term refers to people assigned male at birth who assume female roles."
1095,"In Bugis culture, this term refers to people assigned female at birth who assume male roles."
